Participant,Overall,RecommendHiring,StructuredAnswers
p72,4.72726274526,4.55296200649,4.76919910459
p73,5.60926577555,5.04311324985,5.50660377243
p74,5.11090393639,4.91981245352,4.64128690398
p76,5.89520632644,5.95268582323,5.53431847292
p77,5.15798232393,4.70513483313,4.74113323385
p78,4.64231431965,4.73115657333,4.32581402037
p79,4.82698392841,4.84516165703,3.79439931967
p80,4.78938728037,4.5240255566,3.76562654207
p81,5.4967854764,5.55319382773,5.46399215651
p83,5.84600327782,5.53718944681,5.37244412606
p84,5.95405680479,6.28206002452,5.51848839033
p85,5.31955134377,4.94449030095,4.37642746289
p86,4.47483851696,3.95926002144,3.24920388012
p89,4.73714282322,4.12393247444,3.14449073711
pp1,4.95152516901,4.70402533481,5.14580135722
pp3,5.0112693274,5.2419784175,4.26777504976
pp4,5.35586920022,5.21676875542,4.42848254782
pp5,5.53099344921,5.83997731953,5.4271945507
pp6,4.13980459531,3.89262060016,4.39897096422
pp7,5.60869813828,5.44700778116,5.38627905146
pp8,5.31921494027,4.93431503697,4.98336118463
pp10,4.43933306839,4.14696411905,4.16198686326
pp11,5.81716563238,5.26887499625,5.65383731953
pp12,5.13819640403,5.21246664493,5.2092662769
pp13,4.29498917982,4.28515031934,4.56058517871
pp14,5.9406253668,5.78476933083,5.90207890505
pp15,4.26045910577,3.89965423668,3.77148901234
pp16,5.43783307606,5.29873263126,4.23095320879
pp17,5.6498633772,5.47556263843,4.92906556617
pp20,3.9969536683,3.77524924401,3.89837257493
pp21,5.05120570828,5.15016506068,4.95088370379
pp22,4.96436572961,4.97238875871,5.34692631635
pp24,6.1513814323,6.02030401659,5.72629711152
pp25,5.02266977319,5.07907812451,5.12695700394
pp27,4.65276617407,4.65276617407,5.13232208775
pp29,5.29356410776,5.42605853137,5.6188688468
pp30,3.71669566715,3.48950278415,3.14649821165
pp31,4.78350409434,4.92402154704,4.16855528833
pp32,5.38636927341,5.55658955389,5.35450601117
pp33,6.13318313922,6.19943035102,5.29600706178
pp34,5.3824958702,4.94118761557,5.2122136212
pp35,5.39963657291,5.64018452348,5.73025318131
pp37,5.70942794447,5.33436690165,5.39724331077
pp42,5.76210543323,5.65863925881,5.78039323506
pp43,5.31340118357,5.10805352696,5.64187217109
pp44,5.06080510012,4.59767870788,4.86738743902
pp45,5.53897887148,5.43551269706,5.17790702821
pp47,4.50422569227,4.1894075008,4.88189890141
pp48,3.88803324761,3.41441167587,3.70517243394
pp49,5.10907351652,4.88910193919,3.60251698209
pp50,5.77004140745,5.2643017724,5.60457267794
pp52,4.05795182607,3.96250868075,3.4167546091
pp53,5.39482100978,5.03762185653,4.72087043474
pp55,5.41596625181,5.42580511229,5.5121846745
pp56,4.43783307606,4.16808919198,4.89659331096
pp57,6.55909056886,6.18402952603,6.42801315315
pp58,5.20562296024,5.02272454576,4.96176767423
pp59,5.57449139384,5.56638538032,4.80223590513
pp60,5.23747159549,5.19148491786,4.00819070739
pp61,4.87290166172,4.8969137115,5.07001699529
pp62,4.75199126911,4.75199126911,4.58244744147
pp63,4.96680785663,4.68027322844,4.13378031313
pp64,5.76881090714,6.01919771819,4.89416284336
pp65,5.53960180938,5.56361385916,4.19674891222
pp66,6.17805225436,5.72872097064,5.61150090519
pp67,5.66088906662,5.30008419753,4.43528871219
pp69,3.60831521532,3.29555926495,4.70754806622
pp70,4.76000197464,4.67795511437,4.81904388374
pp71,5.36471696506,5.10647716421,5.33449110356
pp72,5.175140063,5.3483696563,5.67088148272
pp73,5.64745224616,5.64745224616,5.21057444313
pp74,4.58163264969,4.4178160046,4.80294999406
pp76,5.83543866899,5.80655857453,5.29114024864
pp77,5.09202205726,4.88667440066,5.19867504461
pp78,4.7769032027,4.7769032027,5.11916912049
pp79,5.38011533615,5.45438557705,4.47341162906
pp80,5.78474224205,5.40968119923,5.17020439412
pp81,6.45241864394,6.46225750442,6.28421357952
pp83,6.04574843451,5.80661749184,4.87847800231
pp84,5.71007317767,6.02030401659,4.89011375661
pp85,5.6260741495,5.76659160221,4.91822728058
pp86,4.85388108077,4.7001785998,4.24030162943
pp89,4.96008412977,4.37006712428,4.2585253044
